Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
dao4 (2)	<???>	dao4 (2)	Mandarin Chinese	1	U+0064 U+0061 U+006f U+0034 U+0020 U+0028 U+0032 U+0029
hu2 (1)	<???>	hu2 (1)	Mandarin Chinese	1	U+0068 U+0075 U+0032 U+0020 U+0028 U+0031 U+0029
mo4 (1)	<???>	mo4 (1)	Mandarin Chinese	1	U+006d U+006f U+0034 U+0020 U+0028 U+0031 U+0029
^3	<?>	3chao2	Mandarin Chinese	1	U+005e U+0033
e4 (2)	<???>	e4 (2)	Mandarin Chinese	1	U+0065 U+0034 U+0020 U+0028 U+0032 U+0029
jiao1 (1)	<???>	jiao1 (1)	Mandarin Chinese	1	U+006a U+0069 U+0061 U+006f U+0031 U+0020 U+0028 U+0031 U+0029
kuan1 (1)	<???>	kuan1 (1)	Mandarin Chinese	1	U+006b U+0075 U+0061 U+006e U+0031 U+0020 U+0028 U+0031 U+0029
nan2xing4(de)	<???>	nan2xing4(de)	Mandarin Chinese	1	U+006e U+0061 U+006e U+0032 U+0078 U+0069 U+006e U+0067 U+0034 U+0028 U+0064 U+0065 U+0029
pi2 (2)	<???>	pi2 (2)	Mandarin Chinese	1	U+0070 U+0069 U+0032 U+0020 U+0028 U+0032 U+0029
lü4 (1)	<???>	lü4 (1)	Mandarin Chinese	1	U+006c U+00fc U+0034 U+0020 U+0028 U+0031 U+0029
*$	<?>	xia4 yi1 ge*	Mandarin Chinese	1	U+002a U+0024
wan2 (2)	<???>	wan2 (2)	Mandarin Chinese	1	U+0077 U+0061 U+006e U+0032 U+0020 U+0028 U+0032 U+0029
ji4nü3 (2)	<???>	ji4nü3 (2)	Mandarin Chinese	1	U+006a U+0069 U+0034 U+006e U+00fc U+0033 U+0020 U+0028 U+0032 U+0029
xi1 (3)	<???>	xi1 (3)	Mandarin Chinese	1	U+0078 U+0069 U+0031 U+0020 U+0028 U+0033 U+0029
dong4 (2)	<???>	dong4 (2)	Mandarin Chinese	1	U+0064 U+006f U+006e U+0067 U+0034 U+0020 U+0028 U+0032 U+0029
jiao1 (2)	<???>	jiao1 (2)	Mandarin Chinese	1	U+006a U+0069 U+0061 U+006f U+0031 U+0020 U+0028 U+0032 U+0029
zhi3 (2)	<???>	zhi3 (2)	Mandarin Chinese	1	U+007a U+0068 U+0069 U+0033 U+0020 U+0028 U+0032 U+0029
jian4 (2)	<???>	jian4 (2)	Mandarin Chinese	1	U+006a U+0069 U+0061 U+006e U+0034 U+0020 U+0028 U+0032 U+0029
chen2 (2)	<???>	chen2 (2)	Mandarin Chinese	1	U+0063 U+0068 U+0065 U+006e U+0032 U+0020 U+0028 U+0032 U+0029
chuan1 (2)	<???>	chuan1 (2)	Mandarin Chinese	1	U+0063 U+0068 U+0075 U+0061 U+006e U+0031 U+0020 U+0028 U+0032 U+0029
V	<?>	liang2ci4 or liang2 VCL	Mandarin Chinese	1	U+0056
jiu4 (5)	<???>	jiu4 (5)	Mandarin Chinese	1	U+006a U+0069 U+0075 U+0034 U+0020 U+0028 U+0035 U+0029
jiu4 (2)	<???>	jiu4 (2)	Mandarin Chinese	1	U+006a U+0069 U+0075 U+0034 U+0020 U+0028 U+0032 U+0029
hua2 (1)	<???>	hua2 (1)	Mandarin Chinese	1	U+0068 U+0075 U+0061 U+0032 U+0020 U+0028 U+0031 U+0029
jing3 (1)	<???>	jing3 (1)	Mandarin Chinese	1	U+006a U+0069 U+006e U+0067 U+0033 U+0020 U+0028 U+0031 U+0029
jiu4 (4)	<???>	jiu4 (4)	Mandarin Chinese	1	U+006a U+0069 U+0075 U+0034 U+0020 U+0028 U+0034 U+0029
bo1 (2)	<???>	bo1 (2)	Mandarin Chinese	1	U+0062 U+006f U+0031 U+0020 U+0028 U+0032 U+0029
^X	<?>	X... zhihou4	Mandarin Chinese	1	U+005e U+0058
nan2-(de)	<???>	nan2-(de)	Mandarin Chinese	1	U+006e U+0061 U+006e U+0032 U+002d U+0028 U+0064 U+0065 U+0029
pi4gu (3)	<???>	pi4gu (3)	Mandarin Chinese	1	U+0070 U+0069 U+0034 U+0067 U+0075 U+0020 U+0028 U+0033 U+0029
lü4 (2)	<???>	lü4 (2)	Mandarin Chinese	1	U+006c U+00fc U+0034 U+0020 U+0028 U+0032 U+0029
ls	ls	also ba2	Mandarin Chinese	1	U+006c U+0073
jiao3 (3)	<???>	jiao3 (3)	Mandarin Chinese	1	U+006a U+0069 U+0061 U+006f U+0033 U+0020 U+0028 U+0033 U+0029
jian1 (1)	<???>	jian1 (1)	Mandarin Chinese	1	U+006a U+0069 U+0061 U+006e U+0031 U+0020 U+0028 U+0031 U+0029
da3 (NS)	<???>	da3 (NS)	Mandarin Chinese	1	U+0064 U+0061 U+0033 U+0020 U+0028 U+004e U+0053 U+0029
chen2 (1)	<???>	chen2 (1)	Mandarin Chinese	1	U+0063 U+0068 U+0065 U+006e U+0032 U+0020 U+0028 U+0031 U+0029
xi2fu4(r)	<???>	xi2fu4(r)	Mandarin Chinese	1	U+0078 U+0069 U+0032 U+0066 U+0075 U+0034 U+0028 U+0072 U+0029
hua1(r)	<???>	hua1(r)	Mandarin Chinese	1	U+0068 U+0075 U+0061 U+0031 U+0028 U+0072 U+0029
jia1 (2)	<???>	jia1 (2)	Mandarin Chinese	1	U+006a U+0069 U+0061 U+0031 U+0020 U+0028 U+0032 U+0029
bo1 (1)	<???>	bo1 (1)	Mandarin Chinese	1	U+0062 U+006f U+0031 U+0020 U+0028 U+0031 U+0029
zhuan4(qian2)	<???>	zhuan4(qian2)	Mandarin Chinese	1	U+007a U+0068 U+0075 U+0061 U+006e U+0034 U+0028 U+0071 U+0069 U+0061 U+006e U+0032 U+0029
^3$	<?>	3	Mandarin Chinese	1	U+005e U+0033 U+0024
cuo4 (2)	<???>	cuo4 (2)	Mandarin Chinese	1	U+0063 U+0075 U+006f U+0034 U+0020 U+0028 U+0032 U+0029
jin4 (1)	<???>	jin4 (1)	Mandarin Chinese	1	U+006a U+0069 U+006e U+0034 U+0020 U+0028 U+0031 U+0029
